League,Team,Matches,Wins,Draws,Losses,Points,Expected Points,Goals For,Goals Against,Goal Difference,Avg Age,Possession %,Goals p90,xG p90,Shots p90,Shot Accuracy %,Crosses p90,Dribbles p90,Touches in Box p90,xG Against p90,Goals Against p90,Shots Against p90,Defensive Duels p90,Defensive Duels Won %,Aerial Duels p90,Aerial Duels Won %,PPDA,Passes p90,Pass Accuracy %,Through Passes p90,Passes to Final Third p90,Passes to Final Third Acc %,Long Passes p90,Long Pass Accuracy %,Progressive Passes p90,Progressive Runs p90
England 6,King's Lynn Town,33,9,11,13,38,48.3,40,46,-6,25.5,53.6,1.17,1.33,11.32,36.0,13.9,17.54,16.1,1.09,1.29,9.12,61.19,65.6,51.69,47.6,7.47,335.92,75.8,2.38,59.76,59.7,58.55,48.0,73.19,12.94
England 6,Eastbourne Borough,35,7,7,21,28,40.7,44,66,-22,25.3,53.2,1.13,1.15,10.46,35.7,15.38,17.39,15.69,1.49,1.7,11.29,67.89,64.6,61.4,48.4,7.79,307.03,72.0,3.4,56.12,51.8,63.15,47.9,72.89,11.47
England 6,Salisbury,34,10,9,15,39,42.6,33,48,-15,22.1,53.1,0.87,1.12,10.95,35.2,12.53,19.05,14.88,1.31,1.27,10.92,67.44,65.1,50.16,42.8,9.09,345.94,75.5,4.3,55.17,57.5,55.88,47.0,71.19,13.51
England 6,Peterborough Sports,34,9,6,19,33,42.4,41,66,-25,26.1,52.3,1.1,1.23,10.94,35.4,15.67,18.44,15.51,1.5,1.77,12.15,66.89,66.2,61.81,42.4,8.86,330.52,74.2,3.57,57.35,57.5,61.76,51.6,73.96,11.82
England 6,Chippenham Town,35,6,8,21,26,38.2,36,65,-29,24.5,52.2,0.93,1.17,10.23,38.0,11.47,14.44,13.95,1.62,1.68,11.11,64.43,63.1,45.45,46.3,10.69,385.6,80.0,3.33,55.66,59.0,56.25,49.9,73.71,12.94
England 6,AFC Totton,31,13,5,13,44,40.9,41,53,-12,26.3,51.9,1.18,1.32,11.15,39.4,15.66,16.32,15.43,1.42,1.53,11.47,60.44,62.4,58.25,47.4,10.03,318.13,75.9,4.02,53.13,55.4,59.66,52.0,70.04,13.26
England 6,Maidenhead United,32,15,7,10,52,46.1,46,30,16,27.7,51.5,1.35,1.24,10.8,40.9,19.81,26.72,17.94,1.08,0.88,8.4,64.62,65.8,53.59,48.9,9.6,342.38,75.0,2.63,56.66,58.4,49.79,45.4,71.65,14.72
England 6,Chelmsford City,31,15,5,11,50,47.8,40,41,-1,27.1,51.2,1.16,1.38,10.92,38.0,14.15,18.39,16.79,1.1,1.19,9.64,61.41,67.4,63.16,48.3,7.42,294.08,70.8,3.57,55.08,54.5,58.1,47.0,67.43,10.46
England 6,AFC Telford United,33,13,11,9,50,49.2,65,46,19,25.3,51.0,1.84,1.54,12.46,39.3,13.36,24.49,17.95,1.26,1.27,9.71,58.21,64.0,45.44,45.3,10.35,361.84,80.6,3.57,48.78,62.7,46.54,47.9,64.66,20.47
England 6,Darlington 1883,32,15,8,9,53,49.8,62,47,15,27.1,50.6,1.78,1.57,14.2,34.9,16.98,22.58,19.42,1.4,1.35,11.5,64.78,62.6,62.11,44.8,8.95,308.42,73.6,3.82,52.5,56.0,55.11,48.5,73.99,15.03
